text,emotion
knee killing,☹️
think good feeling satisfaction hope joyful expectation happiness excitement passion joy gratitude love,🙂
feel like successful mother caleb learning played together dinner made house cleaned days late work morning missing report,🙂
feel idiotic considering long art department anyone give clear idea art barn looks like,☹️
turn know would feel amazing would eat right much work,🙂
feel awkward iphone always,☹️
sometimes feel shamed admit accept every ethical dilemma no clear cut right wrong something reluctantly grown accept,☹️
shamelessly spent every single day june holidays studying yet receiving terrible results feeling numb,☹️
went downstairs feeling contented heard phone call hung mom came said megan accident someone died,🙂
not feeling positive figure got id heard today,🙂
feel need disclaim photos legs saying apparently knees ugly,☹️
wanted feel super special loved,🙂
used use drugs speed acid mdma managed stop using without intervention stopped using getting sick feeling crappy come,☹️
reckon like secret handshake thing guys bus used year playing snap name game kind special code artists understand feel cool know rest world not get,🙂
love latter smooth feel delicious flavours not mention awesome glossy appearance,🙂
feel useless rotten,☹️
feel eager go back,🙂
feeling disillusioned organized religion,☹️
thought maybe started running would feel ok,🙂
feel like indication character want truthful personality attitude,🙂
excited going glasgow feel graceful last three months,🙂
guess man god feeling relaxed,🙂
zokathepuppy heyyy todayy,🙂
feeling pretty damn brave letting abby play outside kids afternoon,🙂
know feels like disliked coz colleagues consciously kept distance,☹️
feel stupid easily cry days,☹️
feeling optimistic everything hoping able slow growth endo continuing eat gluten free amping health general starting hormones giving weeks heal,🙂
feel look little awkward,☹️
feel pretty one href http getyourprettyon,🙂
wish could stop time even second take deep breath recollect relive happy moments feel stressed,☹️
feel quite honored read,🙂
figure write whatever feeling passionate hope best,🙂
feel mislead sometimes others link seemingly cool promos find referral codes personal gain haha,🙂
feel terrible nails complete crap got busy went vacation florida week,☹️
feel getting devastated evertime speaks coldly possibility death parents negligence,☹️
feels someone hurts heart knife adores mother law never imagines generous kind woman look killer look arnav looking no,🙂
feel energetic full joyful love want chase around toss air play hour,🙂
chi weets not hurt meant good way,☹️
done many things wish post recommend summer songs although feel lame talk music cool ten years ago not care still cool,☹️
know feels often rejected overlooked could look like anyone would trent,☹️
hope tips help ideas please feel free leave comment,🙂
getting used feeling safe relationship sweet treasure,🙂
wishes happy mother day,🙂
certainly remember moments feeling extremely discouraged often outraged angry occasionally deeply sad wounded,☹️
feel sorry regret hurting make unhappy id take life leave love,☹️
feeling inspired really want sing make video kids honor,🙂
lady twitster ohhhh love morse every episode video amp sometimes gaze lovingly,🙂
feel like kicked somewhere unpleasant,☹️
feel like failure like fake like no right label survivor,☹️
feel horrible done target blank class uni icon font icon facebook squared stack share link title share facebook href https twitter,☹️
feel not know something go feel beaten,☹️
feel fine href http ourtinyearth,🙂
feel aching bereft,☹️
find retrained either another person feel quite repressed even depressed rhyming feelings mofo,☹️
feel privileged along ride share thoughts life literature love,🙂
still feeling aches pains dull blueness alcohol aftershock,☹️
feel like shitty friend,☹️
feeling generous fellow bookworms kiddies even kid heart,🙂
feel thought canvas blank white,☹️
feel relaxed moment,🙂
feel relieved find people like feel like trait like,🙂
seem feel suffering pain people feel try reach,☹️
remember feeling numb cried drove,☹️
feel parent emma welcomed class opposed not,🙂
still planning going etc not feeling sociable lately,🙂
come accept feel agonized not attending sunday services first year exeter year taken responsibility proctor make meditation practice regular,☹️
could armed three hundred cash six empty credit cards yet always feel going humiliated supermarket not able pay,☹️
feel community students eager learn build campus pride serve ambassadors online campus connecting education ways never previously considered,🙂
feel resigned tonight also feel strangely calm like calm waters storm perhaps,☹️
feel fucking fantastic also tell things not right,🙂
feel helpless man yet depend lot,☹️
fucked told much always respected boundaries never made feel judged shamed,☹️
feeling rather rotten,☹️
think feel determined weird reason looking challenge make feel better using path,🙂
feel stickiness legs cool air gives notion exact whereabouts drape clammy aperture want rub appreciate hand,🙂
tried moving legs bit since laying middle forest made feel unprotected,☹️
love feel strong,🙂
learned former boyfriend become engaged although glad found wanted,☹️
feel awful grandpa ever wanted hug kind word died stupid bratty teenager could not even give,☹️
orange vitamin water new addiction try,☹️
miss feeling took awhile grow assured could never choose side mine,🙂
feeling determined going time,🙂
going bring whole bunch mine tired feeling super cautious,🙂
want go though still not feeling sociable,🙂
feel confident saying distinct flavors corporate workers,🙂
need listen people tell cool work insecure feeling even though see believe paintings valuable better ways much local stuff far paintings go,🙂
added every chore something see not agreed helping extra bits feel bad stop,☹️
feel hurt yet say not good enough,☹️
feeling rejected family,☹️
easter holiday working weekends left,🙂
feel isolated alone without,☹️
feel joyful hopeful amazed willing dream,🙂
ill anything good angel rose cast feel not care soon end cried charlie getting tragic earnestness putting arms around safety lay clinging beloved fellow creature,☹️
feel sorry friends went visit not saw second week get used,☹️
feel could assaulted himwhen made condition not giving case samehe right treatment,☹️
feel wednesday night music wonderful people join,🙂
feel talented loyal giving people jones told sell crowd stravinski auditorium swiss town along lake geneva,🙂
feel like given opportunities week stop thankful something,🙂
feel beaten today really want go sleep neighbors party going take sleeping pill set two alarms hopefully work time,☹️
feel like writing starting feel passionate life,🙂
feel unquestionably superior player,🙂
feeling like vital parts getting hit harder ever,🙂
believe children excel clear communication environment makes feel safe time fun,🙂
would expect smaller group people guess would larger time commitment attendance would feel less casual showing normal talk,🙂
hate ignore time show much hoping sad miss hoping not one feeling awful get intoxicated mess,☹️
know going help work greatly feel like lot back aching tedious work,☹️
feel idiotic not staying,☹️
feel lot talented guys comes r amp b urge guys coming aiming longevity stay away beef,🙂
spent nights crying lonely count feel pathetic even though know not one,☹️
feel guilt thing not exactly innocent either,🙂
feel defeated frustrated,☹️
feel like idiotic one quite situations moment,☹️
feel whose lives burdened nature antics,☹️
feel disturbed upset,☹️
feeling going pay money circuit city fix blamed thing bad sooo far away,☹️
feel self satisfied proving get without car not one typical americans dependent car foreign oil,🙂
feeling thankful warm sunny california weather right power water roof head,🙂
nothing compared feels precious lady,🙂
zachmoore thought going see pic clean car,☹️
feel blank reading,☹️
